Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
46,ASIC,1-Oct-2014,https://bitcointalk.org/index.php?topic=1022085.0,06-May-2018,Black Arrow,Black Arrow Prospero X-3,"2,000,000","2,000",1000
,,1-Oct-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
47,ASIC,1-Oct-2014,https://www.cryptocoinsnews.com/spondoolies-tech-introduces-sp20-jackson-1-7-ths-home-miners/,06-May-2018,Spondoolies-Tech,Spondooliestech SP20 Jackson,"1,700,000","1,100",1545
,,1-Oct-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,,,,,
48,ASIC,16-Oct-2014,https://www.ccn.com/bitmain-antminer-s4-review-2ths-bitcoin-asic-miner-psu-replacement/ ,06-May-2018,Bitmain,AntMiner S4,"2,000,000","1,400",1429
,,16-Oct-2014,http://www.bitcoinminer.com/bitmain-announces-antminer-s4/,06-May-2018,,,,,
,,16-Oct-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
,,16-Oct-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,,,,,
49,ASIC,16-Oct-2014,https://www.hashcoins.com/hardware,06-May-2018,HashCoins,HashCoins Zeus v3,"4,500,000","3,015",1493
,,16-Oct-2014,https://bitcointalk.org/index.php?topic=825353.0,06-May-2018,,,,,
,,16-Oct-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
50,ASIC,20-Oct-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,Rockminer,ROCKMINER R-BOX 110G,"110,000",120,917
,,20-Oct-2014,https://www.ccn.com/review-rockminer-r-box-100-bringing-teaching-mining-people/,06-May-2018,,,,,
51,ASIC,20-Oct-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,Rockminer,ROCKMINER R4-BOX,"470,000",470,1000
,,20-Oct-2014,http://cryptomining-blog.com/tag/rockminer-r4/,06-May-2018,,,,,
52,ASIC,13-Nov-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,Rockminer,ROCKMINER Rocket BOX ,"450,000",482,935
,,13-Nov-2014,https://bitcointalk.org/index.php?topic=856852.0,06-May-2018,,,,,
53,ASIC,27-Dec-2014,https://www.ccn.com/bitmain-unleashing-antminer-s5/,06-May-2018,Bitmain,AntMiner S5,"1,155,000",590,1958
,,27-Dec-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
,,27-Dec-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,,,,,
54,ASIC,6-Feb-2015,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,Spondoolies-Tech,Spondooliestech SP35 Yukon,"5,500,000","3,650",1507
55,ASIC,17-Mar-2015,http://bitcoinist.com/review-avalon-4-1-1-ths-bitcoin-asic-miner-quiet-power/ ,06-May-2018,Canaan,Avalon 4.1-4.2T,"1,000,000",700,1429
,,17-Mar-2015,https://www.cryptocompare.com/mining/avalon/avalon41-42t/,06-May-2018,,,,,
56,ASIC,1-Apr-2015,http://www.cybtc.org/article-85-1.html,06-May-2018,Bitmain,AntMiner U3 ,"63,000",63,1000
,,1-Apr-2015,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
